     9.00000     125.890     141.230      35.890      -14.055170 
     9.00000     133.160     128.650      96.920      -30.730582 
     9.00000      55.300      22.560     171.660      -40.364989 
     9.00000     179.920      28.770      39.150      -72.589904 
     9.00000     157.020      29.250      38.560      -71.366287 
     9.00000     138.750      76.500     178.430      -19.457522 
     9.00000     154.680      26.790     164.010      -49.726883 
     9.00000     150.830       6.840      55.180      -68.160388 
     9.00000      77.390      54.590     141.220      -25.349668 
     9.00000     144.750      88.510      56.930      -24.215475 
     9.00000     114.770      19.090      56.720      -21.803996 
     9.00000     156.620      72.220     101.230      -26.744958 
     9.00000     165.500      55.240     166.410      -34.476718 
     9.00000      71.900     112.040      55.350      -25.836027 
     9.00000      83.070      94.060      32.370      -27.670621 
     9.00000      76.530      21.010     112.740      -11.368979 
     9.00000      94.500       9.250      80.270       -4.466010 
     9.00000     137.190      55.370      24.460      -48.037312 
     9.00000     112.590      77.040       3.410      -33.464542 
     9.00000     132.460      71.630     135.140      -18.083201 
     9.00000      70.050      92.460      15.090      -29.402620 
     9.00000     154.440     152.320     178.680      -73.547587 
     9.00000      86.860      51.170      80.540      -14.223392 
     9.00000      11.910     142.740     110.460      -58.777784 
     9.00000     153.990       2.870     148.930      -69.136515 
     9.00000     168.770     155.340     145.540      -78.327909 
     9.00000      34.460     128.010      72.060      -41.396488 
     9.00000      25.660     144.500      27.270      -67.808397 
     9.00000     148.120      37.470      55.100      -57.423687 
     9.00000     124.130      37.670      78.130      -28.353767 
     9.00000     148.650     148.180      89.470      -51.512927 
     9.00000      58.930     167.570      58.110      -27.052630 
     9.00000      79.400     116.100      87.780      -18.370338 
     9.00000     151.990      56.040      82.220      -38.695827 
     9.00000     115.660      58.580     103.150      -17.456192 
     9.00000     132.730     136.390      18.060      -15.419753 
     9.00000     135.900      39.950     131.810      -23.149669 
     9.00000     135.070     138.620      17.140      -17.609556 
     9.00000      84.340      95.130      38.390      -26.750085 
     9.00000      41.300      76.970     149.010      -33.327158 
