    10.00000     125.890     141.230      35.890       -6.309284 
    10.00000     133.160     128.650      96.920      -15.908304 
    10.00000      55.300      22.560     171.660      -21.535423 
    10.00000     179.920      28.770      39.150      -40.179011 
    10.00000     157.020      29.250      38.560      -39.070296 
    10.00000     138.750      76.500     178.430       -9.222031 
    10.00000     154.680      26.790     164.010      -26.546468 
    10.00000     150.830       6.840      55.180      -37.074731 
    10.00000      77.390      54.590     141.220      -13.527439 
    10.00000     144.750      88.510      56.930      -11.904389 
    10.00000     114.770      19.090      56.720      -10.991053 
    10.00000     156.620      72.220     101.230      -13.269542 
    10.00000     165.500      55.240     166.410      -17.841452 
    10.00000      71.900     112.040      55.350      -13.813559 
    10.00000      83.070      94.060      32.370      -15.097733 
    10.00000      76.530      21.010     112.740       -5.080927 
    10.00000      94.500       9.250      80.270       -1.046766 
    10.00000     137.190      55.370      24.460      -25.822498 
    10.00000     112.590      77.040       3.410      -18.213615 
    10.00000     132.460      71.630     135.140       -8.601970 
    10.00000      70.050      92.460      15.090      -15.903453 
    10.00000     154.440     152.320     178.680      -40.275043 
    10.00000      86.860      51.170      80.540       -7.023968 
    10.00000      11.910     142.740     110.460      -32.021778 
    10.00000     153.990       2.870     148.930      -37.675196 
    10.00000     168.770     155.340     145.540      -43.382193 
    10.00000      34.460     128.010      72.060      -21.816891 
    10.00000      25.660     144.500      27.270      -36.997564 
    10.00000     148.120      37.470      55.100      -30.987819 
    10.00000     124.130      37.670      78.130      -14.697202 
    10.00000     148.650     148.180      89.470      -27.563706 
    10.00000      58.930     167.570      58.110      -13.871627 
    10.00000      79.400     116.100      87.780       -9.501516 
    10.00000     151.990      56.040      82.220      -20.215209 
    10.00000     115.660      58.580     103.150       -8.671631 
    10.00000     132.730     136.390      18.060       -6.958001 
    10.00000     135.900      39.950     131.810      -11.378404 
    10.00000     135.070     138.620      17.140       -8.175308 
    10.00000      84.340      95.130      38.390      -14.562715 
    10.00000      41.300      76.970     149.010      -17.318198 
    10.00000      17.800     121.920     114.720      -18.108333 
    10.00000      73.850      44.620     109.720       -9.462197 
    10.00000      76.240      36.980     152.330      -11.405785 
    10.00000     135.550     165.740      96.610      -22.983079 
    10.00000     153.510     170.150      51.840      -35.432945 
    10.00000     126.850      56.050     136.890       -6.765272 
    10.00000      75.650      30.010     127.370       -8.140542 
    10.00000      50.620      26.690      17.330       -8.873545 
    10.00000     178.600      14.770      48.330      -46.665321 
    10.00000      15.670     116.930      89.290      -18.508872 
    10.00000     136.670      34.810     173.850      -10.252460 
    10.00000     165.650     106.200     176.580      -17.668671 
    10.00000      90.510     160.250      70.430       -1.734020 
    10.00000      32.950     132.490      88.790      -21.016644 
    10.00000      27.840     175.730      76.390      -37.331271 
    10.00000      60.730      31.520     135.800      -17.028677 
    10.00000      46.050      75.180      85.160      -10.983684 
    10.00000       3.870      91.440       4.180      -12.457545 
    10.00000     142.280      41.720      34.340      -30.252051 
    10.00000      46.100      40.860      15.080       -7.710931 
    10.00000      46.790      30.040     147.820      -27.114038 
    10.00000     102.930      44.140     144.100       -4.782644 
    10.00000       3.180     165.560      68.050      -46.691668 
    10.00000     145.740     152.910      67.630      -24.212530 
    10.00000      83.820       2.450     154.800       -1.094173 
    10.00000      96.590      11.630     166.700       -0.686125 
    10.00000      88.160     105.220     164.980      -14.764771 
    10.00000      71.940      96.410     168.310      -14.219444 
    10.00000      91.540      47.920     163.690       -8.743139 
    10.00000      68.150     164.170      85.790       -6.793644 
    10.00000     113.780      71.870     147.670       -9.736407 
    10.00000     125.390     156.860      98.210      -15.252469 
    10.00000      88.360     171.420     178.700       -0.658477 
    10.00000     113.530      32.490     104.080       -6.534350 
    10.00000      93.230      65.140     110.490       -9.628996 
    10.00000     131.340      23.050     104.220      -16.250457 
    10.00000     150.310      20.860      28.850      -38.353078 
    10.00000     155.760      22.680     107.840      -33.533926 
    10.00000     146.920      38.970      38.840      -32.269522 
    10.00000     106.580     114.120      33.300       -9.302407 
    10.00000      93.320     122.690      41.720       -9.520442 
    10.00000       8.230      13.180     167.750      -47.377884 
    10.00000     126.000      33.830      67.580      -17.625696 
    10.00000      55.010      35.020     170.050      -23.915870 
    10.00000      46.220      19.960      23.510      -14.072514 
    10.00000      11.220      27.400     124.580      -41.296915 
    10.00000      47.710      16.690     150.570      -25.085013 
    10.00000      87.530       9.760      63.100       -0.717401 
    10.00000     166.480      68.560      59.250      -18.201632 
    10.00000     102.660      92.410     126.500      -13.089171 
    10.00000      58.060      46.880      10.970       -4.300727 
    10.00000     157.800      76.130     138.650      -11.042220 
    10.00000     101.820     151.080      92.560       -4.439596 
    10.00000     124.980     166.390       9.760       -9.900111 
    10.00000      92.220      15.160       2.050       -2.045700 
    10.00000     105.340     153.090     121.600       -7.470035 
    10.00000      69.010     124.120      86.700       -9.693370 
    10.00000     168.350     142.760      67.520      -31.990489 
    10.00000     147.340     124.930      92.990      -18.602562 
    10.00000     129.650     138.620      28.000       -6.719503 
    10.00000     174.300      38.510      49.020      -35.423650 
    10.00000      10.010      59.140     175.470      -24.549605 
    10.00000      38.640      20.970      15.330      -19.040252 
    10.00000     176.730     143.390      81.940      -35.217518 
    10.00000      93.980     173.760     148.210       -1.065188 
    10.00000     160.120      44.860      79.810      -28.151922 
    10.00000     113.820     164.160     130.230      -10.314929 
    10.00000     136.460     129.130      45.310       -9.215806 
    10.00000       9.140      53.840     167.780      -27.472854 
    10.00000      34.420      60.570      47.270      -10.609671 
    10.00000      69.560       4.480      17.380       -4.469538 
    10.00000      28.800     104.570      36.330      -17.262350 
    10.00000     142.130      92.790     100.760      -11.225230 
    10.00000     112.380      32.080      72.470       -9.840849 
    10.00000     129.280     174.360       1.840      -15.749453 
    10.00000      31.570      99.230     158.950      -10.274010 
    10.00000     173.900      67.120      99.310      -17.233841 
    10.00000      28.960     125.220     153.160      -12.184736 
    10.00000      13.340     145.430     152.000      -30.567716 
    10.00000      16.970      73.940      57.990      -12.672949 
    10.00000     103.490     111.580     160.050      -16.793392 
    10.00000      71.960     178.590      85.320       -4.380901 
    10.00000      50.320     132.720     100.860      -12.117620 
    10.00000     163.250      78.390      44.990      -15.090343 
    10.00000     178.530      53.550     159.030      -24.319003 
    10.00000     129.080      61.360     152.120       -6.653195 
    10.00000     179.310     157.850      22.890      -43.366463 
    10.00000     116.060     179.110      28.680       -8.259624 
    10.00000      87.330     166.790     103.060       -1.008766 
    10.00000      14.590      92.500      48.480      -12.549747 
    10.00000      41.500     135.620     135.350      -11.117859 
    10.00000      60.360     123.230       9.430      -21.788664 
    10.00000      58.930      15.270     140.310      -15.593669 
    10.00000      73.370      12.940      25.440       -2.073884 
    10.00000      84.680      43.510     140.500       -8.811345 
    10.00000      98.770     126.570      20.960       -8.035197 
    10.00000      26.680     154.120      37.550      -38.604559 
    10.00000      16.640      85.160     101.470      -12.364775 
    10.00000      97.990     157.000     163.960       -5.550900 
    10.00000      68.320     159.020     132.850       -3.677960 
    10.00000     174.980       0.770      15.790      -48.647983 
    10.00000      60.170     122.130      80.120      -12.243285 
    10.00000     131.180      15.730      25.980      -24.175428 
    10.00000     151.050      57.080      13.690      -27.643549 
    10.00000      88.840     139.470      24.330       -7.411624 
    10.00000      36.390     105.690     123.080       -9.955465 
    10.00000     108.310      69.890      10.060      -18.251448 
    10.00000      97.160      34.510     150.410       -3.656167 
    10.00000      12.530      66.010     150.340      -20.717321 
    10.00000      25.020     153.070      92.220      -33.023983 
    10.00000     165.900     174.790      83.060      -45.344877 
    10.00000       6.090     160.710     142.780      -43.048204 
    10.00000     124.650      56.390     154.830       -5.763295 
    10.00000      91.480     118.490     157.460      -12.769545 
    10.00000     146.280      80.580      20.890      -16.183523 
    10.00000     140.420     122.770      61.310      -11.237321 
    10.00000     101.200      79.780      72.000      -11.741504 
    10.00000      79.310     127.970      29.080      -13.341929 
    10.00000      65.580      40.340      27.700       -3.614344 
    10.00000     105.300     152.320     103.430       -6.061963 
    10.00000      50.270     164.490     146.430      -13.209607 
    10.00000      57.910      45.590       9.680       -4.214330 
    10.00000     142.380     112.030     162.670      -22.042695 
    10.00000      79.890     118.850      50.090      -12.538778 
    10.00000     167.760     160.000      58.550      -40.713357 
    10.00000      59.060     175.830     136.230      -10.637680 
    10.00000     134.480     136.330      27.670       -8.104032 
    10.00000      57.270     121.800      69.260      -14.665289 
    10.00000      95.460      49.950     127.660       -7.009718 
    10.00000     102.600      55.440     134.150       -7.257079 
    10.00000      54.020      50.190     102.560      -14.766226 
    10.00000      94.700     119.450      83.980       -8.635481 
    10.00000     107.590     139.810     104.990       -8.724586 
    10.00000      61.730     122.850      44.840      -17.664368 
    10.00000      95.760     119.370      75.070       -8.601749 
    10.00000     148.110     125.900      96.610      -19.789925 
    10.00000      10.700     157.520     106.240      -40.931336 
    10.00000       5.160     162.770      48.740      -46.006248 
    10.00000      34.000      23.360      39.700      -22.956225 
    10.00000     149.850     140.150     154.210      -34.299203 
    10.00000     103.280     111.490     123.490      -13.014740 
    10.00000      56.370     133.510      79.170      -13.898490 
    10.00000      73.810       6.030      37.580       -2.776924 
    10.00000      53.190      64.740       4.910       -6.860468 
    10.00000      36.970      11.550      82.740      -28.293322 
    10.00000      25.000      80.250      44.210      -10.794469 
    10.00000      83.140       9.270      46.420       -0.798573 
    10.00000      29.950      82.180      25.520      -10.587336 
    10.00000     108.880     116.970      59.910       -8.180665 
    10.00000     152.830      22.400      69.250      -36.011276 
    10.00000     139.600      97.400      69.890      -10.451706 
    10.00000      67.460       7.950      82.100       -6.307421 
    10.00000      24.390      20.560     134.670      -40.128843 
    10.00000     126.540      13.010     147.870      -11.702202 
    10.00000     105.940      93.810       2.610      -15.203556 
    10.00000       6.040     110.650      98.910      -16.341696 
    10.00000      74.610     108.710      61.280      -12.817000 
